area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,Census Place,2422825,"Detmold, MD",0.315997500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2423025,"District Heights, MD",2.211982500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2423500,"Downsville, MD",1.790652500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2423700,"Drum Point, MD",4.634630000,0.000000000,0.000000000,1.000000000,0.659090909,0.954545455,0.886363636,0.909090909,0.590909091
Total,Census Place,2423975,"Dundalk, MD",46.135635000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.995433790
Total,Census Place,2424050,"Dunkirk, MD",19.065182500,0.000000000,0.000000000,1.000000000,0.745856354,1.000000000,0.640883978,0.955801105,0.480662983
Total,Census Place,2424200,"Eagle Harbor, MD",0.210665000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.500000000
Total,Census Place,2424250,"Eakles Mill, MD",0.105332500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2424450,"East New Market, MD",1.158657500,0.000000000,0.000000000,1.000000000,0.909090909,1.000000000,0.454545455,0.727272727,0.454545455
Total,Census Place,2424475,"Easton, MD",30.967755000,0.000000000,0.000000000,1.000000000,0.976190476,0.993197279,0.880952381,0.976190476,0.751700680
Total,Census Place,2424650,"East Riverdale, MD",3.897302500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2424825,"Eckhart Mines, MD",4.107967500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2424850,"Eden, MD",15.589210000,0.000000000,0.000000000,1.000000000,0.972972973,1.000000000,1.000000000,1.000000000,0.993243243
Total,Census Place,2424925,"Edesville, MD",0.737327500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.714285714,1.000000000,0.714285714
Total,Census Place,2424950,"Edgemere, MD",54.246237500,0.000000000,0.000000000,1.000000000,0.951456311,1.000000000,0.949514563,0.968932039,0.904854369
Total,Census Place,2425000,"Edgemont, MD",1.369322500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.923076923
Total,Census Place,2425050,"Edgewater, MD",10.111920000,0.000000000,0.000000000,1.000000000,0.989583333,1.000000000,1.000000000,1.000000000,0.927083333
Total,Census Place,2425150,"Edgewood, MD",45.608972500,0.000000000,0.000000000,1.000000000,0.986143187,1.000000000,0.988452656,0.949191686,0.831408776
Total,Census Place,2425425,"Edmonston, MD",1.053325000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2425575,"Eldersburg, MD",112.284445000,0.000000000,0.000000000,1.000000000,0.904315197,0.973733583,0.880863039,0.898686679,0.769230769
Total,Census Place,2425600,"Eldorado, MD",0.210665000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
